Ticker,Date,Open,High,Low,Close,Volume
QQQ,2000/1/3,96.19,96.19,90,94.75,36431200
QQQ,2000/1/4,92,93.5,87.94,88.25,33787000
QQQ,2000/1/5,87.5,90.03,84.25,86,42498600
QQQ,2000/1/6,86.88,88,79.75,80.09,37135000
QQQ,2000/1/7,82.94,90,82.5,90,28138200
QQQ,2000/1/10,91,93.94,89.94,92.5,29675600
QQQ,2000/1/11,91.75,92.88,87,88,32546600
QQQ,2000/1/12,89,89.24,86,86.06,29050000
QQQ,2000/1/13,88.5,91.5,87.08,91.25,25165200
QQQ,2000/1/14,93,93.63,92,93.38,21898600
QQQ,2000/1/18,92.06,94.44,91.44,93.88,16752400
QQQ,2000/1/19,93.49,96,92.43,96,19006000
QQQ,2000/1/20,95.5,96.88,94.01,95.06,25992200
QQQ,2000/1/21,96.5,96.56,95.06,96.25,18698200
QQQ,2000/1/24,97.44,97.63,90.97,91.63,28340600
QQQ,2000/1/25,91.88,94.11,89.41,93,33276200
QQQ,2000/1/26,93.25,93.31,89,89.25,23095600
QQQ,2000/1/27,91.75,92.5,87.63,90.56,30739400
QQQ,2000/1/28,90,90.47,84.75,86,35313800
QQQ,2000/1/31,85.88,90,83.5,89.69,36014600
QQQ,2000/2/1,89.53,92.5,88.44,92.09,26417600
QQQ,2000/2/2,92.25,94.72,92.09,92.88,26169200
QQQ,2000/2/3,94.31,96.63,92.28,96.5,30579800
QQQ,2000/2/4,97,98.24,96.22,97.16,26640000
QQQ,2000/2/7,97.25,98.63,96.25,98.5,17761000
QQQ,2000/2/8,99.38,102.88,99.38,102.63,22000200
QQQ,2000/2/9,102.06,102.19,98.75,99,27294400
QQQ,2000/2/10,99.81,102.25,98.56,102.25,26341600
QQQ,2000/2/11,102.06,102.06,98,99.88,24876000
QQQ,2000/2/14,99.99,100,97.75,99.75,22814600
QQQ,2000/2/15,98.94,100.63,95.88,100.47,30569400
QQQ,2000/2/16,99.91,101.69,99.31,100,25310600
QQQ,2000/2/17,101.19,103.25,99.63,102.13,30080200
QQQ,2000/2/18,102.63,103,98.44,98.44,25271200
QQQ,2000/2/22,99,99.94,96.25,98.75,37226200
QQQ,2000/2/23,99.68,105,99.16,104.25,32170800
QQQ,2000/2/24,104.88,106.81,102,106.5,48868200
QQQ,2000/2/25,106.19,107.5,103.88,104.06,32617600
QQQ,2000/2/28,103.25,105.69,100.5,104,38215200
QQQ,2000/2/29,105.75,107.09,104.94,106.75,23978600
QQQ,2000/3/1,107.25,108.56,106.5,107.63,24468400
QQQ,2000/3/2,108.06,108.19,104.75,105.14,32739200
QQQ,2000/3/3,108,111.13,107,111.06,32017200
QQQ,2000/3/6,111.75,113.22,110.25,111.94,23269400
QQQ,2000/3/7,113.81,113.88,110.25,110.25,39471000
QQQ,2000/3/8,111,112,106.28,111.25,43512600
QQQ,2000/3/9,111.22,115.5,109.09,115,30101400
QQQ,2000/3/10,114.88,116.44,113.51,114.5,29750600
QQQ,2000/3/13,110,114.13,109.53,111.5,37544200
QQQ,2000/3/14,112.75,113.38,105,107.38,39106800
QQQ,2000/3/15,106.5,107,101.88,102.88,51202600
QQQ,2000/3/16,105.38,109.25,101,108.75,55282200
QQQ,2000/3/17,108,111.06,107.94,110.81,31422400
QQQ,2000/3/20,111,111.5,106.25,107.6875,21167200
QQQ,2000/3/21,106.125,111.9375,103.5625,111.75,33435100
