Ticker,Date,Open,High,Low,Close,Volume
SPY,2000/1/3,148.25,148.25,143.875,145.4375,8164300
SPY,2000/1/4,143.5313,144.0625,139.6406,139.75,8089800
SPY,2000/1/5,139.9375,141.5313,137.25,140,12177900
SPY,2000/1/6,139.625,141.5,137.75,137.75,6227200
SPY,2000/1/7,140.3125,145.75,140.0625,145.75,8066500
SPY,2000/1/10,146.25,146.9063,145.0313,146.25,5741700
SPY,2000/1/11,145.8125,146.0938,143.5,144.5,7503700
SPY,2000/1/12,144.5938,144.5938,142.875,143.0625,6907700
SPY,2000/1/13,144.4688,145.75,143.2813,145,5158300
SPY,2000/1/14,146.5313,147.4688,145.9688,146.9688,7437300
SPY,2000/1/18,145.3438,146.625,145.1875,145.8125,6488500
SPY,2000/1/19,145.3125,147,145,147,6157900
SPY,2000/1/20,146.9688,146.9688,143.8125,144.75,5821500
SPY,2000/1/21,145.5,145.5,144.0625,144.4375,6244800
SPY,2000/1/24,145.6563,145.8438,139.4063,140.3438,7896900
SPY,2000/1/25,140.5156,141.9375,139,141.9375,9942500
SPY,2000/1/26,141,141.5469,140.0938,140.8125,5158100
SPY,2000/1/27,141.8438,142.2188,138.125,140.25,10922700
SPY,2000/1/28,139.4375,140.0625,135.5313,135.875,11916200
SPY,2000/1/31,135.8125,139.6719,135,139.5625,10768700
SPY,2000/2/1,139.75,141.6875,138.5313,140.9375,8419900
SPY,2000/2/2,141.2813,142.25,140.375,141.0625,6205900
SPY,2000/2/3,140.875,143.25,140,143.1875,7997500
SPY,2000/2/4,143.1875,144,142.125,142.5938,4925400
SPY,2000/2/7,142.5625,142.7813,141.4375,142.375,5846800
SPY,2000/2/8,143.9688,144.5625,143.625,144.3125,4936500
SPY,2000/2/9,144.4688,144.4688,141.2656,141.2813,8511500
SPY,2000/2/10,141.625,142.5625,140.875,141.5625,6690600
SPY,2000/2/11,141.8438,141.9375,138.0313,138.6875,9849800
SPY,2000/2/14,139.7813,139.7813,138.3125,139.5,8528800
SPY,2000/2/15,139.25,141.2188,137.7969,141.0938,11078300
SPY,2000/2/16,140.375,140.9375,138.7969,139,8845400
SPY,2000/2/17,140.4375,140.4375,138.2188,138.2813,7584200
SPY,2000/2/18,138.875,138.875,134.625,135.3125,9409200
SPY,2000/2/22,135.1875,136.3438,133.5313,134.9688,16415400
SPY,2000/2/23,135.625,137.4688,134.5,136.5625,12119000
SPY,2000/2/24,136.6875,137.0313,133.0938,133.8125,17375000
SPY,2000/2/25,135.1875,136.7188,133.125,133.3281,10559900
SPY,2000/2/28,133.375,136.6875,132.7188,136.125,13397800
SPY,2000/2/29,136.0625,137.4375,135.75,137.4375,8242500
SPY,2000/3/1,137.625,139,137.2188,138.4375,6868000
SPY,2000/3/2,138.6875,139.125,137.3438,138.5313,7600200
SPY,2000/3/3,140.4375,141.7188,139.7188,141.125,12770300
SPY,2000/3/6,140.8125,141.3438,138.75,139.75,11967100
SPY,2000/3/7,140,140.1563,135.2188,137.0469,20062000
SPY,2000/3/8,136.4688,137.8438,135.0313,136.875,11808500
SPY,2000/3/9,137.25,140.875,136.125,140.875,5500900
SPY,2000/3/10,140.1875,142,139.5313,140.125,7924600
SPY,2000/3/13,136.6875,140.4688,136.5,138.5938,10540400
SPY,2000/3/14,139.2813,140.0938,136.1563,136.625,8263900
SPY,2000/3/15,136.875,140.4375,136.0625,139.8125,10300800
SPY,2000/3/16,141.625,146.8438,140.875,146.3438,25601400
SPY,2000/3/17,145.8125,148,145.4375,146.9375,10272900
SPY,2000/3/20,146.875,147.3438,144.7813,146.1875,12502300
SPY,2000/3/21,145.5313,149.75,144.5,149.1875,13612600
SPY,2000/3/22,149.5625,150.8438,148.6875,150.0938,8260000
SPY,2000/3/23,149.1563,153.4688,149.1563,152.6563,11654500
SPY,2000/3/24,152.875,155.75,151.7188,153.5625,11462900
SPY,2000/3/27,153.375,153.7813,151.8125,151.9375,8798600
SPY,2000/3/28,151.25,152.9844,150.5938,151.0625,6334400
SPY,2000/3/29,151.5625,152.4844,149.6563,151.2188,6747500
SPY,2000/3/30,150.1563,151.9219,147.125,148.6875,9491900
SPY,2000/3/31,149.625,152.3125,148.4375,150.375,9249100
SPY,2000/4/3,150.125,151.25,148.6875,151.25,8508200
SPY,2000/4/4,151.75,153,145.75,145.75,21060400
SPY,2000/4/5,147.875,150.8125,147.625,149.1875,8227900
SPY,2000/4/6,150.25,151.6875,149,150.4844,6378500
SPY,2000/4/7,151.5625,152.125,150.5,151.4375,6023600
SPY,2000/4/10,151.75,153.1094,150.3125,150.8438,9624200
SPY,2000/4/11,150,151.625,148.375,150.4063,9006400
SPY,2000/4/12,150.375,151.1563,146.1563,146.2813,10779700
SPY,2000/4/13,147.4688,148.1563,141.125,144.25,12226800
SPY,2000/4/14,142.625,142.8125,133.5,136,29604000
SPY,2000/4/17,135.1875,140.75,134.6875,140.75,23918200
SPY,2000/4/18,140.5625,144.4688,139.7813,144.4688,11070700
SPY,2000/4/19,144.5,145.125,142.5313,143.125,6553700
SPY,2000/4/20,143.5625,143.9375,142.375,143.8125,8537600
SPY,2000/4/24,141.5,143.3125,140.5,142.25,12893100
SPY,2000/4/25,144.625,148.1563,144.4375,148.1563,14230300
SPY,2000/4/26,147.9688,148.75,146,146.4844,7711100
SPY,2000/4/27,143,147.3438,143,146,15595300
SPY,2000/4/28,147,147.8594,145.0625,145.0938,8743400
SPY,2000/5/1,146.5625,148.4844,145.8438,147.0625,7328300
SPY,2000/5/2,145.5,147.125,144.125,144.125,9411900
SPY,2000/5/3,144,144,139.7813,140.75,12630700
SPY,2000/5/4,142,142.3594,140.75,141.8125,5963600
SPY,2000/5/5,141.0625,144,140.9375,143.5313,7862400
SPY,2000/5/8,142.75,143.375,141.8438,142.4531,5064100
SPY,2000/5/9,143.0625,143.4063,140.2656,141.3125,5620300
SPY,2000/5/10,140.5,140.9688,137.75,138.125,10293900
SPY,2000/5/11,140.125,141.5,139.125,141.2813,7091100
SPY,2000/5/12,141.8125,143.4688,141.625,142.8125,5960800
SPY,2000/5/15,142.75,145.6094,142,145.2813,4441300
SPY,2000/5/16,146.5625,147.7188,145.3125,146.6875,8192200
SPY,2000/5/17,145.6875,146.1875,144.4688,145.1563,5907200
SPY,2000/5/18,145.625,146.3125,143.375,143.375,4325600
SPY,2000/5/19,142.5625,143.2344,140.4063,141.125,6518400
SPY,2000/5/22,141.25,141.4688,137,140.0625,10839400
SPY,2000/5/23,140.4375,140.8125,137.5625,138,7979200
SPY,2000/5/24,138,140.6875,136.5,140.25,11084500
SPY,2000/5/25,140.6875,141.8125,137.7188,137.8438,8278900
SPY,2000/5/26,138.8125,139.6875,137.3281,138,4814000
SPY,2000/5/30,140,142.9375,139.4688,142.5,5362700
SPY,2000/5/31,142.5625,144,142.0938,142.8125,6056500
SPY,2000/6/1,143.6875,145.4375,143,145.3125,8961600
SPY,2000/6/2,148.9375,149.0938,147.4844,147.8438,8962200
SPY,2000/6/5,147.4688,148.2188,146.875,147.125,6998100
SPY,2000/6/6,146.625,147.7813,145.9063,146.4688,4858900
