Ticker,Date,Open,High,Low,Close,Volume
TLT,2002/7/26,82.67,82.8,82.42,82.51,316300
TLT,2002/7/29,82.06,82.16,81.32,81.42,8400
TLT,2002/7/30,81.75,81.9,81.52,81.52,6100
TLT,2002/7/31,81.95,82.8,81.9,82.53,29400
TLT,2002/8/1,82.54,83.02,82.54,83,25000
TLT,2002/8/2,83.16,84.1,82.88,83.85,52800
TLT,2002/8/5,84.04,84.44,83.85,84.22,61100
TLT,2002/8/6,83.8,83.9,83.22,83.5,64900
TLT,2002/8/7,83.6,84.14,83.36,83.7,40300
TLT,2002/8/8,83.58,83.77,83.36,83.7,40900
TLT,2002/8/9,84,84.88,84,84.88,35900
TLT,2002/8/12,85.3,86.7,85.14,85.4,32100
TLT,2002/8/13,85.78,86.47,85.37,86.45,74300
TLT,2002/8/14,87.46,87.9,86.75,86.78,130000
TLT,2002/8/15,86.38,86.5,85.85,86.02,87100
TLT,2002/8/16,86.44,86.52,84.82,85.06,85000
TLT,2002/8/19,85.05,85.34,84.71,85.32,47300
TLT,2002/8/20,85.62,86.29,85.6,86.27,40800
TLT,2002/8/21,85.68,86.1,85.63,85.81,40000
TLT,2002/8/22,85.55,85.55,85.06,85.06,34400
TLT,2002/8/23,85.2,85.95,85.2,85.9,20100
TLT,2002/8/26,85.7,86.21,85.67,85.98,23900
TLT,2002/8/27,85.4,85.68,85.2,85.44,301800
TLT,2002/8/28,86.04,86.18,85.84,85.87,18100
TLT,2002/8/29,86.76,86.86,86.35,86.56,135700
TLT,2002/8/30,86.75,87.13,86.45,87.08,78100
TLT,2002/9/3,87.08,88.04,87,88.04,102100
TLT,2002/9/4,88.03,88.3,87.84,88.02,66300
TLT,2002/9/5,88.57,88.65,87.38,88.5,648400
TLT,2002/9/6,87.97,88.19,87.2,87.46,140000
TLT,2002/9/9,87.5,87.83,87.26,87.33,83800
TLT,2002/9/10,87.17,88,87,87.75,336000
TLT,2002/9/11,87,87.3,86.75,87.29,177700
TLT,2002/9/12,87.48,88.14,87.47,87.97,43400
TLT,2002/9/13,88.33,88.94,88.18,88.78,155100
TLT,2002/9/16,89.2,89.22,88.9,88.93,73000
TLT,2002/9/17,88.64,89.32,88.36,89.1,75400
TLT,2002/9/18,89.46,89.56,89.02,89.12,196600
TLT,2002/9/19,89.7,89.77,89.26,89.72,109900
TLT,2002/9/20,89.45,89.52,89.06,89.3,113500
